date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-08-26,24.2,19.71,19.39,14.6,30,,97,82.2,82.5,68,18.5,16.6,15.8,13.2,20,10.25,10,0,,,101.46,101.3,101.26,101.05,101.41,101.25,101.21,101,32200,31862.5,28150,24100,3.9,2.3,2.8,1.6,0,1.4,14.4,12.4,9.4,0,0,0,,06:20:00,1756214400,6.33,20:08:00,1756264080,20.13,13.8,7,7,24,24,16,16,,,,,,1,0.8,0.5,0,,,,
2025-08-25,23.9,19.4,19.04,14.2,30,,100,82.7,83,66,17.9,16.3,16.2,14.5,22,11.58,11,0,,,101.48,101.36,101.35,101.21,101.43,101.31,101.3,101.16,48300,41591.7,40250,32200,3.9,2.2,2.6,1.4,0,1,14,12,9,0,0,0,,06:18:00,1756127880,6.3,20:10:00,1756177800,20.17,13.87,7,7,24,25,14,15,,,,,,2,0.2,1,0,,,,
2025-08-24,24.3,20.07,19.7,15.1,29,,97,78.3,80.5,64,17.3,16,15.2,13,25,14.67,14.5,4,33,29,101.47,101.32,101.31,101.15,101.42,101.27,101.26,101.1,32200,31862.5,28150,24100,4.3,2.2,2.8,1.3,0,1.7,14.7,12.7,9.7,0,0,0,,06:17:00,1756041420,6.28,20:12:00,1756091520,20.2,13.92,7,7,24,24,15,16,,,,,,1,0.3,0.5,0,,,,
2025-08-23,23.7,19.4,19,14.3,29,,97,81.1,80.5,64,17.5,15.9,14.9,12.3,26,15.79,15,4,32,30,101.64,101.45,101.42,101.2,101.59,101.4,101.37,101.15,32200,32200,32200,32200,4,2.2,2.5,1.1,0,1,14,12,9,0,0,0,,06:15:00,1755954900,6.25,20:14:00,1756005240,20.23,13.98,7,7,24,24,15,17,,,,,,2,0.5,1,0,,,,
2025-08-22,22.8,18.44,17.45,12.1,28,,100,83.2,83.5,67,16.6,15.4,14.7,12.8,26,14.54,13,0,32,30,101.94,101.74,101.68,101.42,101.89,101.69,101.63,101.37,32200,32200,32200,32200,3.2,1.9,2.1,1,0.6,0,12.4,10.4,7.5,0,0,0,,06:14:00,1755868440,6.23,20:16:00,1755918960,20.27,14.03,7,7,23,23,16,16,,,,,,1,0.2,0.5,0,,,,
2025-08-21,21.4,17.4,16.45,11.5,26,,98,82.5,84,70,16.4,14.3,14.1,11.8,24,14.29,12,0,32,29,102.56,102.28,102.24,101.91,102.51,102.23,102.19,101.86,32200,32200,32200,32200,2.5,1.7,1.8,1,1.6,0,11.4,9.4,6.5,0,0,0,,06:13:00,1755781980,6.22,20:18:00,1755832680,20.3,14.08,6,6,21,21,15,15,,,,,,8,2.9,4,0,,,,
2025-08-20,19.9,17.09,16.79,13.7,,,98,84.4,85.5,73,16.2,14.4,14.1,11.9,15,7.62,7.5,0,,,102.55,102.42,102.35,102.15,102.5,102.37,102.3,102.1,48300,38566.7,40250,32200,2.4,1.7,1.7,1,1.2,0,11.8,9.8,6.8,0,0,0,,06:11:00,1755695460,6.18,20:20:00,1755746400,20.33,14.15,6,6,20,20,12,12,,,,,,8,3.6,4,0,,,,
2025-08-19,23.3,18.16,19.39,15.5,25,,88,74.5,71,54,15.7,13.5,13.6,11.5,24,14.21,14.5,5,32,9,102.15,102.04,101.99,101.83,102.1,101.99,101.94,101.78,48300,38558.3,40250,32200,2.5,1.7,1.8,1,0,1.4,14.4,12.4,9.4,0,0,0,,06:10:00,1755609000,6.17,20:22:00,1755660120,20.37,14.2,6,6,22,22,14,15,,,,,,8,7.2,6,4,,,,
2025-08-18,23.3,18.54,19.2,15.1,25,,86,68.5,67.5,49,14.2,12.5,12.2,10.2,18,10.54,9,0,,,101.82,101.61,101.61,101.4,101.77,101.56,101.56,101.35,48300,37887.5,40250,32200,2.2,1.5,1.6,1,0,1.2,14.2,12.2,9.2,0,0,0,,06:08:00,1755522480,6.13,20:23:00,1755573780,20.38,14.25,6,6,22,22,15,15,,,,,,8,7.6,7,6,,,,
2025-08-17,21,17.71,17.85,14.7,,,88,72.3,69,50,14.1,12.5,12.1,10.1,18,11.33,11.5,5,32,14,101.76,101.61,101.58,101.4,101.71,101.56,101.53,101.35,32200,30512.5,28150,24100,2.1,1.2,1.6,1,0.1,0,12.8,10.8,7.8,0,0,0,,06:07:00,1755436020,6.12,20:25:00,1755487500,20.42,14.3,2,6,22,22,15,15,,,,,,8,7.4,7,6,,,,
